index,port_num,pred,n_ret,date
RTALB.IS,4,0.2239021972937877,-0.03595502343145751,2022-08-28
GARAN.IS,4,0.2288605451280738,0.22428990727689002,2022-08-28
ISCTR.IS,4,0.2435118542167823,0.10586556111388079,2022-08-28
AGHOL.IS,5,0.1924951688678807,0.03928571428571437,2022-08-28
ISGYO.IS,5,0.1998570963852282,0.011441691543309096,2022-08-28
IPEKE.IS,6,0.2913574133579925,0.040674073223572194,2022-08-28
KOZAA.IS,6,0.2872309614120708,0.01153843219463635,2022-08-28
TCELL.IS,6,0.2853327606941849,0.15339395936236033,2022-08-28
TTKOM.IS,6,0.2929735045733691,0.11482258770667997,2022-08-28
VESTL.IS,6,0.2755057931792312,0.04838706657141523,2022-08-28
PARSN.IS,7,0.2940744570449203,-0.008395065495997334,2022-08-28
AKBNK.IS,8,0.2938112398569559,0.13018859538713157,2022-08-28
KORDS.IS,8,0.2919624343936814,0.08683204398025501,2022-08-28
TKFEN.IS,8,0.2851482370550544,-0.03096408016904395,2022-08-28
ISMEN.IS,9,0.2806400202861517,0.049671316728904014,2022-08-28
OYAKC.IS,9,0.2759069572830384,0.07441532362036418,2022-08-28
TAVHL.IS,9,0.2768298793891468,0.0320723813718542,2022-08-28
HEKTS.IS,10,0.2704420981236901,0.010697962343320322,2022-08-28
KARSN.IS,10,0.2832749930821737,0.006053291688786322,2022-08-28
SASA.IS,10,0.284218543576467,-0.006603744794737576,2022-08-28
SELEC.IS,10,0.2723206962516189,0.08681676594215348,2022-08-28
SKBNK.IS,10,0.268226428570723,0.09428569248744423,2022-08-28
EREGL.IS,11,0.3052987094686723,-0.007402399678240856,2022-08-28
IZMDC.IS,11,0.3182651392223651,-0.003787875024959475,2022-08-28
ADESE.IS,12,0.3153769628508092,0.2528735947177405,2022-08-28
VESBE.IS,12,0.2971105631301053,0.015184315140324145,2022-08-28
SAHOL.IS,13,0.3025914528399357,0.03414634713667053,2022-08-28
KCHOL.IS,13,0.3003944370953723,0.012058600125990138,2022-08-28
PETKM.IS,13,0.3079008774619606,0.1293103405751741,2022-08-28
SARKY.IS,13,0.2941344182721562,-0.06451609835878513,2022-08-28
SOKM.IS,13,0.3185572263383182,0.05303514018769051,2022-08-28
EKGYO.IS,14,0.2951886948203499,0.08196719816420295,2022-08-28
ENKAI.IS,14,0.2994463342384437,-0.04435489220500077,2022-08-28
TKNSA.IS,14,0.3053394263552931,-0.015384601277006582,2022-08-28
SISE.IS,14,0.294350178254287,-0.04743387814637445,2022-08-28
ISFIN.IS,15,0.2969127078476922,0.17903937647744916,2022-08-28
MAVI.IS,15,0.318890883879046,-0.021337125674029345,2022-08-28
THYAO.IS,15,0.3121458550504259,0.017518203623973605,2022-08-28
ALGYO.IS,16,0.3362973812085471,0.01233871644957163,2022-08-28
